State/UT,Primary Boys_2018_19,Primary Girls_2018_19,Primary Total_2018_19,Upper Primary Boys_2018_19,Upper Primary Girls_2018_19,Upper Primary Total_2018_19,Secondary Boys_2018_19,Secondary Girls_2018_19,Secondary Total_2018_19,Primary Boys_2019_20,Primary Girls_2019_20,Primary Total_2019_20,Upper Primary Boys_2019_20,Upper Primary Girls_2019_20,Upper Primary Total_2019_20,Secondary Boys_2019_20,Secondary Girls_2019_20,Secondary Total_2019_20,Primary Boys_2020_21,Primary Girls_2020_21,Primary Total_2020_21,Upper Primary Boys_2020_21,Upper Primary Girls_2020_21,Upper Primary Total_2020_21,Secondary Boys_2020_21,Secondary Girls_2020_21,Secondary Total_2020_21,Primary Boys_2021_22,Primary Girls_2021_22,Primary Total_2021_22,Upper Primary Boys_2021_22,Upper Primary Girls_2021_22,Upper Primary Total_2021_22,Secondary Boys_2021_22,Secondary Girls_2021_22,Secondary Total_2021_22
India,4.6,4.3,4.5,4.3,5.1,4.7,18.7,17.1,17.9,1.7,1.2,1.5,2.2,3,2.6,17,15.1,16.1,0.8,0.7,0.8,1.6,2.3,1.9,14.9,14.2,14.6,1.6,1.4,1.5,2.7,3.3,3,13,12.3,12.6
Andaman and Nicobar Islands,0.8,1.2,1,0,0.4,0,26.2,18,22.2,0.7,0.3,0.5,0,0,0,19.1,12.3,15.7,2.1,2.5,2.3,0,0.5,0.2,7.6,6.9,7.2,0.2,0.7,0.4,0.9,3.036111111,3.214285714,6,3.9,5
Andhra Pradesh,0,0,0,1.3,0.9,1.1,17.5,15.2,16.4,0,0,0,0.3,0.2,0.3,17.2,12.2,14.8,0,0,0,0.5,0.5,0.5,17.3,16.1,16.7,0,0,0,1.7,1.5,1.6,17.5,15,16.3
Arunachal Pradesh,14.5,13.1,13.8,6.3,7,6.7,36.9,35,36,7.8,4.6,6.2,7.7,7.2,7.5,37.6,30.9,34.3,9.8,6.8,8.3,8.3,7,7.7,9.5,11.7,10.7,9.3,9.2,9.3,4.8,8.4,6.7,11.2,12.3,11.7
Assam,3.5,2.6,3.1,3.1,0.7,19,30.8,32.1,31.5,5.1,3.6,4.3,4.8,2.1,3.4,31.5,32.9,32.3,4.2,2.3,3.3,6,3.2,4.6,29.7,32.1,31,6.8,5.2,6,10.1,7.6,8.8,19.8,20.7,20.3
Bihar,8.7,6.8,7.8,12.7,12.1,12.4,27.4,29.5,28.5,3,1.5,2.3,8.6,9.2,8.9,20,22.7,21.4,0,0,0,2.1,3.4,2.8,16.3,19,17.6,0,0,0,4,5.2,4.6,19.5,21.4,20.5
Chandigarh,0,0,0,0,1.3,0.4,4.7,4.3,4.5,0,0,0,0.3,0.3,0.3,5.9,3.3,4.7,0,0,0,0,0,0,2.1,1,1.6,0,0,0,0,0,0,0,0,0
Chhattisgarh,3.3,3.5,3.4,7.8,6.3,7,24.2,15.6,19.8,1.4,0.6,1,4.6,3.1,3.8,19.4,17.2,18.3,0.9,0.6,0.8,4.8,3.3,4,15.8,11.4,13.6,2.465714286,0.6,0.8,4.8,3.3,4.1,11.5,8.1,9.7
Dadra and Nagar Haveli,0,0,0,2.2,2.4,2.3,23.1,17.5,20.5,0,0,0,1.1,1.2,1.1,22.8,17.3,20.3,4.1,3.1,3.6,0,0,0,26.7,17.7,22.4,0,0,0,0,0,0,10.5,8.4,9.5
Daman and Diu,0,0.3,0,0.9,0,0.1,23.9,19.3,21.7,0,0.2,0,0.5,0,0,23.2,16.5,20,0,0,0,0,0,0,9.9,7.7,8.8,0,0,0,0,0,0,10.5,8.4,9.5
Delhi,0,0,0,1.3,0.8,1.1,16.1,13.7,14.9,0,0,0,0,0.2,0.1,15.6,11.8,13.8,1.6,1.5,1.5,0.4,0.7,0.6,6.6,5.2,5.9,0,0,0,0,0,0,5.9,3.7,4.8
